CaseName	EndPointSituation	RequestAmount	CreditScore	Variant	NumberOfOffers	LoanGoal
Application_652823628	1	20000.0	979	2	1	Existingloantakeover
Application_1691306052	2	10000.0	0	384	1	Homeimprovement
Application_428409768	1	15000.0	1059	208	2	Homeimprovement
Application_1746793196	1	5000.0	834	255	2	Car
Application_828200680	3	35000.0	0	1	1	Homeimprovement
Application_1085880569	3	13000.0	0	19	2	Existingloantakeover
Application_1266995739	3	7000.0	0	30	1	Existingloantakeover
Application_1878239836	2	15000.0	0	9	1	Homeimprovement
Application_619403287	1	15000.0	799	6	1	Car
Application_1710223761	3	11000.0	0	1	1	Car
Application_1529124572	1	5000.0	835	2	1	Other,seeexplanation
Application_387012864	3	5000.0	0	1	1	Other,seeexplanation
Application_1120819670	1	6850.0	1021	23	1	Car
Application_42838382	3	29500.0	0	60	3	Existingloantakeover
Application_180547487	1	6000.0	770	17	1	Homeimprovement
Application_1966208034	3	40000.0	0	1	1	Remainingdebthome
Application_1806387393	2	5000.0	0	622	1	Car
Application_1111870538	3	5000.0	0	1	1	Notspeficied
Application_1017492916	3	15000.0	0	1	1	Car
Application_2082119944	1	15000.0	1004	3	1	Existingloantakeover
Application_758985626	1	17000.0	875	6	1	Notspeficied
Application_1018615109	1	17000.0	919	49	2	Homeimprovement
Application_319587802	2	7000.0	0	310	3	Car
Application_1846626914	1	5000.0	1063	6	1	Car
Application_546206358	2	10000.0	0	9	1	Homeimprovement
Application_196483749	3	10000.0	0	1112	4	Car
Application_1363980603	3	7500.0	0	1	1	Car
Application_1553362978	3	12000.0	0	110	3	Car
Application_1197857445	3	6000.0	0	45	2	Homeimprovement
Application_931862671	3	6000.0	0	60	3	Car
Application_2012588584	1	0.0	809	69	2	Unknown
Application_1825972191	1	15000.0	990	754	3	Car
Application_1059184025	1	6600.0	1018	1113	3	Caravan/Camper
Application_1395142997	1	20000.0	812	226	1	Car
Application_2015287405	3	15000.0	0	19	2	Car
Application_1193723578	2	20000.0	0	112	2	Car
Application_2049529862	1	10000.0	895	17	1	Homeimprovement
Application_1699757505	1	6000.0	1030	1114	3	Car
Application_493034835	1	9000.0	0	5	1	Existingloantakeover
Application_842511489	1	15000.0	859	5	1	Other,seeexplanation
Application_1474017032	1	15000.0	0	106	2	Homeimprovement
Application_1397856354	3	0.0	0	13	1	Homeimprovement
Application_767475240	1	15400.0	933	1115	6	Existingloantakeover
Application_980495316	1	42000.0	0	12	1	Homeimprovement
Application_2035768049	1	15000.0	0	5	1	Homeimprovement
Application_1307111345	1	20000.0	662	12	1	Other,seeexplanation
Application_821425679	1	15000.0	0	12	1	Car
Application_1294530310	1	10000.0	860	11	1	Car
Application_470922426	1	40000.0	938	10	1	Homeimprovement
Application_1461440233	3	11000.0	0	19	2	Car
Application_857715587	3	40000.0	0	4	1	Other,seeexplanation
Application_351152063	1	0.0	0	5	1	Car
Application_1547844908	1	40000.0	796	649	2	Homeimprovement
Application_2055987002	1	15000.0	0	5	1	Car
Application_1118236712	3	15000.0	0	1	1	Existingloantakeover
Application_1234535641	3	8000.0	0	19	2	Existingloantakeover
Application_1898882436	1	5000.0	1011	6	1	Car
Application_2113276114	1	7500.0	976	15	1	Homeimprovement
Application_1603124379	1	13000.0	659	65	2	Car
Application_2110144842	3	15000.0	0	7	1	Existingloantakeover
Application_486645986	1	27000.0	804	84	2	Homeimprovement
Application_587387633	1	25000.0	808	3	1	Existingloantakeover
Application_901793095	1	5000.0	1090	6	1	Car
Application_340403559	3	17000.0	0	19	2	Car
Application_1825104006	3	15000.0	0	790	5	Car
Application_1530322400	3	5000.0	0	63	1	Homeimprovement
Application_593655901	3	5000.0	0	45	2	Homeimprovement
Application_1535675187	1	8500.0	894	130	1	Car
Application_1767756144	1	15000.0	955	37	2	Car
Application_1405679737	3	5000.0	0	1116	1	Car
Application_446334558	3	7500.0	0	97	2	Taxpayments
Application_130460765	1	20000.0	972	37	2	Other,seeexplanation
Application_1300843234	2	12500.0	0	1117	2	Existingloantakeover
Application_1588619628	3	24000.0	0	213	3	Homeimprovement
Application_505474597	1	6750.0	1108	554	3	Car
Application_1765204099	1	8300.0	1063	37	2	Existingloantakeover
Application_1624825294	3	5000.0	0	63	1	Car
Application_1448214642	1	8000.0	1004	65	2	Homeimprovement
Application_987262285	2	6000.0	0	18	1	Car
Application_1845547664	1	9000.0	873	1118	2	Notspeficied
Application_1947648225	3	22000.0	0	110	3	Homeimprovement
Application_1130101747	1	10500.0	956	6	1	Other,seeexplanation
Application_798605556	3	35000.0	0	1	1	Homeimprovement
Application_2062932311	1	10000.0	1016	2	1	Car
Application_430902047	1	5000.0	1078	2	1	Car
Application_1370588808	3	25000.0	0	1	1	Homeimprovement
Application_163777174	1	11000.0	853	17	1	Existingloantakeover
Application_909491524	1	15000.0	1034	6	1	Caravan/Camper
Application_396349881	2	15000.0	0	78	1	Existingloantakeover
Application_930742634	1	10000.0	831	40	2	Homeimprovement
Application_2068443797	3	13500.0	0	19	2	Car
Application_354702724	1	5000.0	787	37	2	Other,seeexplanation
Application_1357431492	3	5000.0	0	1	1	Other,seeexplanation
Application_584603670	1	5000.0	793	47	1	Notspeficied
Application_807916303	1	12000.0	756	65	2	Car
Application_283012951	1	25000.0	956	2	1	Car
Application_1876456626	1	10750.0	682	600	3	Car
Application_178025821	3	50000.0	0	1119	2	Homeimprovement
Application_813133375	1	33800.0	908	166	3	Car
Application_268676496	1	5500.0	886	1120	4	Car
Application_1870161219	1	27400.0	827	17	1	Existingloantakeover
Application_1723779444	3	5000.0	0	19	2	Car
Application_1339153511	1	12000.0	889	128	1	Other,seeexplanation
Application_1754646859	3	10000.0	0	87	2	Homeimprovement
Application_2002564265	3	5000.0	0	1	1	Car
Application_1304234740	3	50000.0	0	391	2	Other,seeexplanation
Application_58755651	2	50000.0	0	1121	3	Homeimprovement
Application_93597308	3	50000.0	0	66	1	Existingloantakeover
Application_774787486	2	10000.0	0	59	2	Homeimprovement
Application_1660185664	1	0.0	943	290	1	Unknown
Application_2105878744	1	5000.0	806	2	1	Homeimprovement
Application_1446096185	1	0.0	1063	318	2	Unknown
Application_675073178	1	24000.0	953	22	1	Car
Application_952532843	3	9000.0	0	19	2	Car
Application_914660918	2	25000.0	0	42	1	Caravan/Camper
Application_167944225	2	8000.0	0	9	1	Existingloantakeover
Application_1962860870	1	6000.0	871	485	2	Other,seeexplanation
Application_1696031128	2	20000.0	0	42	1	Car
Application_803879893	1	10000.0	904	39	1	Homeimprovement
Application_1886382319	3	11000.0	0	27	2	Remainingdebthome
Application_1250134245	3	5000.0	0	19	2	Homeimprovement
Application_1044610848	1	50000.0	0	5	1	Other,seeexplanation
Application_1999238509	1	10000.0	0	107	1	Existingloantakeover
Application_854524772	1	0.0	837	11	1	Homeimprovement
Application_927205634	3	0.0	0	62	1	Unknown
Application_484278024	3	7000.0	0	74	1	Other,seeexplanation
Application_1674281629	1	30000.0	0	61	2	Homeimprovement
Application_299986859	1	30000.0	844	5	1	Car
Application_1374020543	1	30000.0	0	1122	1	Remainingdebthome
Application_1252717204	1	20600.0	859	1123	4	Existingloantakeover
Application_24648067	1	15000.0	951	10	1	Caravan/Camper
Application_1823402778	1	15000.0	1023	554	3	Notspeficied
Application_2108937169	1	0.0	869	422	1	Unknown
Application_895241174	1	22000.0	0	1124	3	Extraspendinglimit
Application_1290239114	1	15000.0	979	3	1	Car
Application_1787371920	1	23500.0	0	12	1	Other,seeexplanation
Application_1471099537	1	10000.0	0	1103	2	Car
Application_37839400	1	25000.0	0	12	1	Car
Application_1128910355	3	0.0	0	1125	2	Car
Application_54405635	3	6000.0	0	13	1	Other,seeexplanation
Application_395903076	1	16000.0	859	3	1	Existingloantakeover
Application_1859638703	1	15000.0	1064	124	2	Other,seeexplanation
Application_1101997724	3	10000.0	0	63	1	Notspeficied
Application_74505494	3	20000.0	0	14	2	Homeimprovement
Application_525275343	2	43000.0	0	18	1	Existingloantakeover
Application_106973225	3	30000.0	0	1	1	Homeimprovement
Application_1315608886	1	15000.0	811	2	1	Homeimprovement
Application_1538441067	3	10500.0	0	266	2	Homeimprovement
Application_822724921	1	30000.0	887	28	2	Existingloantakeover
Application_2040511284	3	5500.0	0	187	3	Other,seeexplanation
Application_1754943309	3	10000.0	0	1	1	Homeimprovement
Application_323012882	1	8000.0	1033	8	1	Car
Application_347136910	1	15000.0	869	2	1	Car
Application_1432907447	1	0.0	1010	11	1	Unknown
Application_1004303396	1	15000.0	1006	101	1	Homeimprovement
Application_1096831814	1	11800.0	994	51	2	Car
Application_1068218912	3	7500.0	0	19	2	Motorcycle
Application_709929024	1	5000.0	1067	36	2	Car
Application_347787380	1	26000.0	0	1126	2	Car
Application_1546754076	1	15000.0	1021	43	1	Homeimprovement
Application_1365381023	3	5000.0	0	284	2	Car
Application_1981969728	1	40000.0	920	131	1	Remainingdebthome
Application_665878125	3	18000.0	0	27	2	Homeimprovement
Application_1044911465	3	19500.0	0	45	2	Existingloantakeover
